LOCATION;INDICATOR;SUBJECT;MEASURE;TIME;Value
Australia;SOCSUPPORT;TRY;PC;2011;95,30189037
Australia;SOCSUPPORT;TRY;PC;2012;95,30189037
Australia;SOCSUPPORT;TRY;PC;2013;95,30189037
Australia;SOCSUPPORT;TRY;PC;2014;95,30189037
Australia;SOCSUPPORT;TRY;PC;2015;95,30189037
Australia;SOCSUPPORT;TRY;PC;2016;95,30189037
Australia;SOCSUPPORT;TRY;PC;2017;95,30189037
Australia;SOCSUPPORT;TRY;PC;2018;95,30189037
Australia;SOCSUPPORT;TRY;PC;2019;95,30189037
Australia;SOCSUPPORT;TRY;PC;2020;95,30189037
Australia;SOCSUPPORT;TRY;PC;2021;95,30189037
Australia;SOCSUPPORT;TRY;PC;2022;95,30189037
Australia;SOCSUPPORT;SRY;PC;2010;93,69834065
Australia;SOCSUPPORT;SRY;PC;2011;93,69834065
Australia;SOCSUPPORT;SRY;PC;2012;93,69834065
Australia;SOCSUPPORT;SRY;PC;2013;93,69834065
Australia;SOCSUPPORT;SRY;PC;2014;93,69834065
Australia;SOCSUPPORT;SRY;PC;2015;93,69834065
Australia;SOCSUPPORT;SRY;PC;2016;93,69834065
Australia;SOCSUPPORT;SRY;PC;2017;93,69834065
Australia;SOCSUPPORT;SRY;PC;2018;93,69834065
Australia;SOCSUPPORT;SRY;PC;2019;93,69834065
Australia;SOCSUPPORT;SRY;PC;2020;93,69834065
Australia;SOCSUPPORT;SRY;PC;2021;93,69834065
Australia;SOCSUPPORT;SRY;PC;2022;93,69834065
Australia;SOCSUPPORT;MIDDLE_AGED;PC;2010;92,98662543
Australia;SOCSUPPORT;MIDDLE_AGED;PC;2011;92,98662543
Australia;SOCSUPPORT;MIDDLE_AGED;PC;2012;92,98662543
Australia;SOCSUPPORT;MIDDLE_AGED;PC;2013;92,98662543
Australia;SOCSUPPORT;MIDDLE_AGED;PC;2014;92,98662543
Australia;SOCSUPPORT;MIDDLE_AGED;PC;2015;92,98662543
