Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,35,29,33,41,24,28,26,22,6,25,,
Albania,27,12,9,13,17,27,22,28,28,21,26,31
Algeria,17,9,11,12,12.2,12.4,12.6,12.8,13,14,15,16
Angola,24,24,31,24,17,10,,,,,,
Argentina,21,22,18,20,22,18,17,15,16,18,,
Armenia,6,10,6,7,9,7,9,12,15,10,,
Australia,70,71,76,67,66,72,73,63,71,68,64.5,61
Austria,69,50,53,52,57,52,50,48,54,53,,
Azerbaijan,22,18,20,17,14,10,12,11,8,14,,
Bahrain,43,38,33,39,45,51,51.6667,52.3333,53,,,
Bangladesh,12,18,13,17,19,11,14,13,23,16,,
Belarus,11,16,16,11,15,28,24,20,21,18,,
Belgium,40,42,38,35,41,40,46,34,45,39,31,23
Belize,28,27,27.25,27.5,27.75,28,,,,,,
Benin,19,19,5,8,11,10,17,13,13,13,12.5,12
Bhutan,,,,,63,55,56,,,,,
Bolivia,,,,25,20,28,24,22,15,22,22,22
"Bosnia and Herzegovina",29,16,26,27,33,53,25,44,40,34,39.5,45
Botswana,15,17,6,11,17,22,21,7,8,13,,
Brazil,25,26,24,23,22,20,30,21,14,22,24,26
Bulgaria,18,13,10,15,14,27,13,17,18,16,25,34
"Burkina Faso",6,12,6,10,15,16,17,17,11,13,,
"Burma (Myanmar)",,,,85,91,92,91,91,88,81,76,71
Burundi,9,9,5,5,5,5,,,,,,
"Ivory Coast",6,6,10.3333,14.6667,19,14,17,19,12,16.3333,20.6667,25
Cambodia,34,54,61,45,37,45,42,29,30,40,34,28
Cameroon,18,20,17,17,17,14,26,21,18,19,22.5,26
Canada,64,62,64,68,71,67,65,61,56,63,53.5,44
"Central African Republic",24,10,12,12.4,12.8,13.2,13.6,14,18,,,
Chad,22,19,19,13,12,10,14,21,16,16,,
Chile,48,44,45,54,43,56,39,45,33,44,41,38
China,11,14,10,10,13,8,6,8,14,11,16.5,22
Colombia,24,25,23,29,24,22,21,21,15,22,22,22
Comoros,12,20,12,8,,,,,,,,
"Congo (Brazzaville)",,,,10,13,11,11,14,8,11,15,19
"Congo (Kinshasa)",,,,8,13,13,8,10,19,11,,
"Costa Rica",38,36,29,37,34,34,27,30,25,31,25.5,20
